station,name,longitude,latitude,location,rating
15 The Curve,Pizza Hut,-0.59497885,51.510246,"['59 Queensmere', 'Slough SL1 1DD', 'United Kingdom']",4.0
15 The Curve,McDonald's,-0.59497885,51.510246,"['172 High Street', 'Slough SL1 1JP', 'United Kingdom']",4.0
15 The Curve,Pizza Express Restaurants,-0.59497885,51.510246,"['80 High Street', 'Slough SL1 1EL', 'United Kingdom']",1.0
15 The Curve,Khyber Pass,-0.59497885,51.510246,"['3 Church Street', 'Slough SL1 1PQ', 'United Kingdom']",3.0
15 The Curve,Pro Tuga,-0.59497885,51.510246,"['High Street', 'Slough SL1 1LN', 'United Kingdom']",2.0
15 The Curve,Burger King,-0.59497885,51.510246,"['150 High Street', 'Slough SL1 1JP', 'United Kingdom']",2.5
15 The Curve,Pepe's Piri Piri,-0.59497885,51.510246,"['256 High Street', 'Slough SL1 1JU', 'United Kingdom']",2.0
16 Langley,The Tummy Fillers,-0.54318756,51.507257,"['260 Trelawney Avenue', 'Slough SL3 7UD', 'United Kingdom']",5.0
16 Langley,Millionaires Punjabi Cuisine,-0.54318756,51.507257,"['62 Station Road', 'Langley', 'Slough SL3 8BT', 'United Kingdom']",0.0
16 Langley,Jacks,-0.54318756,51.507257,"['16 Harrow Market', 'Slough SL3 8HJ', 'United Kingdom']",0.0
16 Langley,Nick's Fish and Chips,-0.54318756,51.507257,"['16 Harrow Market', 'Slough SL3 8HJ', 'United Kingdom']",0.0
16 Langley,Pizza Bien Manger,-0.54318756,51.507257,"['254 Tralawney Avenue', 'Colnbrook with Poyle SL3 7UD', 'United Kingdom']",0.0
16 Langley,Oriental Express,-0.54318756,51.507257,"['266 High Street', 'Langley', 'Slough SL3 8HD', 'United Kingdom']",0.0
16 Langley,Subway,-0.54318756,51.507257,"['250 High Street', 'Langley', 'Slough SL3 8HA', 'United Kingdom']",0.0
16 Langley,Langley Fish & Chips,-0.54318756,51.507257,"['258 High Street', 'Langley', 'Slough SL3 8HA', 'United Kingdom']",0.0
16 Langley,Nasima Tandoori,-0.54318756,51.507257,"['260 Trelawney Avenue', 'Slough SL3', 'United Kingdom']",3.0
16 Langley,G T Road,-0.54318756,51.507257,"['260 Trelawney Avenue', 'Slough SL3 7UD', 'United Kingdom']",0.0
16 Langley,Loon Tin,-0.54318756,51.507257,"['33 Willoughby Road', 'Slough SL3 8JH', 'United Kingdom']",0.0
16 Langley,Kinara Restaurant,-0.54318756,51.507257,"['286 High Street', 'Langley', 'Slough SL3 8HF', 'United Kingdom']",0.0
16 Langley,Lotus Kitchen,-0.54318756,51.507257,"['98a Meadfield Road', 'Slough SL3 8HR', 'United Kingdom']",0.0
16 Langley,China Town,-0.54318756,51.507257,"['250 Trelawney Avenue', 'Slough SL3 7UD', 'United Kingdom']",0.0
16 Langley,Haven Fish Bar,-0.54318756,51.507257,"['228 Trelawney Avenue', 'Slough SL3 7UD', 'United Kingdom']",4.0
17 Wexham Hospital,The Red Lion,-0.5767782,51.532348,"['Stoke Green', 'Stoke Poges', 'Slough SL2 4HN', 'United Kingdom']",4.0
17 Wexham Hospital,The Garden Room,-0.5767782,51.532348,"['Stoke Place', 'Stoke Green', 'Stoke Poges SL2 4HT', 'United Kingdom']",4.0
6 O2,Village Fish & Chip & Kebab,-0.63086763,51.518988,"['132 Lower Cippenham Lane', 'Slough SL1 5EA', 'United Kingdom']",4.0
6 O2,McDonald's,-0.63086763,51.518988,"['Senate House', '77 Bath Road', 'Slough SL1 3SR', 'United Kingdom']",4.0
6 O2,Barn Tandoori,-0.63086763,51.518988,"['Bath Road', 'Slough SL1 3SR', 'United Kingdom']",4.0
6 O2,Giovani's,-0.63086763,51.518988,"['136 Lower Cippenham Lane', 'Slough SL1 5EA', 'United Kingdom']",3.0
6 O2,K Takeaway,-0.63086763,51.518988,"['127 Earls Lane', 'Slough SL1 5TD', 'United Kingdom']",4.0
6 O2,The Source,-0.63086763,51.518988,"['875 Plymouth Road', 'Sl1 4lp', 'Slough SL1', 'United Kingdom']",1.0
